Subject,CreditValues
"Designer, industrial/product",s
"Programmer, multimedia",z
"Designer, multimedia",p
Multimedia programmer,r
Private music teacher,J
Television/film/video producer,F
"Engineer, energy",M
Estate manager/land agent,q
Tree surgeon,Z
Land/geomatics surveyor,K
"Engineer, manufacturing systems",i
Aeronautical engineer,f
Marketing executive,N
Energy manager,k
"Education officer, environmental",v
Commercial horticulturist,I
"Teacher, special educational needs",o
"Radiographer, diagnostic",y
"Engineer, production",b
IT consultant,n
Mental health nurse,z
Quarry manager,p
"Conservation officer, nature",T
Applications developer,y
Make,Y
Occupational hygienist,r
Advertising copywriter,c
"Runner, broadcasting/film/video",P
Publishing copy,P
Accounting technician,k
Consulting civil engineer,O
Hydrogeologist,B
Geophysicist/field seismologist,f
"Psychotherapist, dance movement",f
"Pilot, airline",f
Medical laboratory scientific officer,w
"Doctor, general practice",O
Risk analyst,p
Commercial art gallery manager,u
Plant breeder/geneticist,s
Sub,e
Optometrist,h
Trade mark attorney,P
Travel agency manager,l
Leisure centre manager,H
Sport and exercise psychologist,w
Data processing manager,j
Pension scheme manager,O
Make,U
Air traffic controller,o
Chartered loss adjuster,n
Insurance claims handler,Q
Print production planner,t
"Therapist, nutritional",Q
"Buyer, industrial",a
"Engineer, electrical",w
Training and development officer,v
Conference centre manager,g
Barrister,b
Immigration officer,T
Facilities manager,u
Naval architect,s
Planning and development surveyor,d
"Journalist, newspaper",H
"Embryologist, clinical",V
"Production assistant, radio",n
TEFL teacher,t
Bookseller,G
Senior tax professional/tax inspector,C
Physiotherapist,S
Glass blower/designer,a
Printmaker,o
Multimedia specialist,s
Commercial/residential surveyor,Z
Camera operator,t
Musician,C
Printmaker,a
Homeopath,R
"Radiographer, therapeutic",r
Merchant navy officer,K
Chartered accountant,d
Civil Service administrator,p
Counsellor,b
Podiatrist,f
Facilities manager,y
Landscape architect,p
"Engineer, civil (contracting)",E
"Engineer, automotive",E
Economist,n
"Production assistant, television",C
Counselling psychologist,T
"Horticulturist, commercial",P
Geoscientist,t
Financial controller,H
"Research officer, political party",S
Event organiser,o
Senior tax professional/tax inspector,k
Television floor manager,n
Colour technologist,q
"Psychotherapist, child",n
Environmental consultant,S
Mental health nurse,X
"Engineer, maintenance (IT)",t
"Nurse, learning disability",G
Multimedia specialist,D
Plant breeder/geneticist,X
"Producer, radio",l
Patent attorney,X
Counsellor,G
Site engineer,h
"Scientist, clinical (histocompatibility and immunogenetics)",z
Quality manager,C
Armed forces logistics/support/administrative officer,d
"Psychotherapist, child",H
Armed forces logistics/support/administrative officer,c
"Surveyor, building control",N
Environmental manager,F
Ecologist,q
Careers information officer,T
"Surveyor, hydrographic",G
"Teacher, primary school",a
Dispensing optician,l
Artist,t
"Psychologist, prison and probation services",n
Marketing executive,H
Broadcast journalist,N
Photographer,s
Conference centre manager,t
"Scientist, forensic",n
Housing manager/officer,a
"Psychologist, clinical",q
Sales promotion account executive,B
"Therapist, music",q
Television camera operator,l
Ranger/warden,h
Conference centre manager,W
Firefighter,C
"Geologist, wellsite",N
Theatre director,Q
Facilities manager,A
Paediatric nurse,j
Hydrographic surveyor,e
"Engineer, structural",Z
Textile designer,f
Educational psychologist,f
Public librarian,D
"Education officer, environmental",k
Speech and language therapist,Q
"Clinical scientist, histocompatibility and immunogenetics",f
"Surveyor, building",t
"Designer, interior/spatial",J
Corporate investment banker,f
Hydrologist,R
Insurance claims handler,b
Transport planner,e
Haematologist,e
Dispensing optician,g
"Secretary, company",S
Chartered loss adjuster,e
Insurance broker,r
Corporate treasurer,z
"Civil engineer, contracting",Z
Sports development officer,I
Gaffer,X
Industrial buyer,U
Television/film/video producer,J
Corporate investment banker,d
Drilling engineer,W
Race relations officer,e
Academic librarian,g
"Runner, broadcasting/film/video",y
Copy,f
Occupational therapist,t
"Nurse, mental health",I
"Conservation officer, historic buildings",U
Chartered legal executive (England and Wales),K
"Engineer, mining",J
Insurance broker,w
Astronomer,G
Medical laboratory scientific officer,x
"Nurse, mental health",i
Marketing executive,q
"Loss adjuster, chartered",r
Sport and exercise psychologist,E
Fitness centre manager,G
Land,t
"Buyer, industrial",r
Communications engineer,O
Counsellor,f
Systems analyst,T
"Administrator, charities/voluntary organisations",n
Theatre manager,B
Forest/woodland manager,y
Television camera operator,D
Water engineer,p
"Therapist, horticultural",m
"Scientist, research (maths)",Z
Illustrator,c
Sports administrator,d
"Psychotherapist, child",w
Broadcast presenter,W
General practice doctor,z
"Loss adjuster, chartered",m
Quality manager,x
"Engineer, land",N
Equality and diversity officer,U
Database administrator,X
"Surveyor, mining",B
Economist,M
Social researcher,A
Transport planner,c
Field trials officer,y
Sub,p
Politician's assistant,X
"Scientist, physiological",t
Media planner,h
Garment/textile technologist,j
"Embryologist, clinical",I
Orthoptist,S
Podiatrist,N
Media buyer,Z
Economist,o
Orthoptist,m
Private music teacher,A
"Embryologist, clinical",k
"Therapist, occupational",K
Financial trader,Y
Cabin crew,y
"Scientist, physiological",x
Health and safety adviser,p
"Engineer, water",X
"Designer, television/film set",C
Housing manager/officer,M
Petroleum engineer,j
Health physicist,g
Clinical molecular geneticist,w
Building services engineer,N
"Surveyor, mining",n
Engineering geologist,i
Structural engineer,p
Information systems manager,T
Chartered public finance accountant,v
"Designer, graphic",H
Accounting technician,J
Air broker,B
Press photographer,x
"Administrator, local government",x
Press photographer,x
"Therapist, music",m
"Engineer, petroleum",Z
"Scientist, research (medical)",M
"Psychotherapist, dance movement",o
Interior and spatial designer,U
Lexicographer,B
Merchant navy officer,i
Insurance account manager,h
"Buyer, industrial",Z
Broadcast journalist,P
Medical laboratory scientific officer,P
Armed forces operational officer,J
"Producer, television/film/video",d
Agricultural consultant,q
Maintenance engineer,X
Health and safety inspector,p
Interpreter,W
"Surveyor, rural practice",o
Adult guidance worker,l
Catering manager,O
Art therapist,p
Warden/ranger,v
Biomedical engineer,z
"Teacher, adult education",B
Health and safety inspector,B
Osteopath,W
Materials engineer,o
Toxicologist,n
Archaeologist,J
Pathologist,X
"Psychologist, sport and exercise",I
Oceanographer,x
Amenity horticulturist,m
Materials engineer,i
Cabin crew,O
"Doctor, general practice",Q
Barrister's clerk,f
Fast food restaurant manager,f
Diagnostic radiographer,N
Acupuncturist,L
Training and development officer,g
Data processing manager,Q
Public relations officer,Z
Race relations officer,C
Mental health nurse,D
Analytical chemist,b
Audiological scientist,B
"Editor, film/video",P
"Journalist, magazine",J
Medical technical officer,h
"Education officer, environmental",S
Chartered accountant,Y
Insurance risk surveyor,N
"Engineer, electrical",O
"Engineer, civil (consulting)",r
"Radiographer, diagnostic",K
Aid worker,X
Make,e
Clinical embryologist,s
"Designer, blown glass/stained glass",k
Artist,s
Passenger transport manager,T
"Radiographer, diagnostic",C
"Education officer, environmental",h
Control and instrumentation engineer,k
"Horticulturist, commercial",W
Bookseller,W
Higher education lecturer,X
Press photographer,d
Phytotherapist,U
"Teacher, music",l
"Designer, blown glass/stained glass",k
Dietitian,m
Passenger transport manager,y
Metallurgist,R
Race relations officer,T
Pathologist,Z
Ecologist,y
Public relations account executive,Q
"Scientist, audiological",C
Catering manager,U
Location manager,P
"Education officer, environmental",L
Dietitian,E
Corporate treasurer,E
Armed forces logistics/support/administrative officer,W
Hydrologist,N
"Scientist, audiological",J
"Engineer, site",y
Orthoptist,x
Recruitment consultant,U
Contracting civil engineer,U
Print production planner,m
Counselling psychologist,P
Futures trader,U
"Engineer, manufacturing systems",h
Gaffer,G
Commercial/residential surveyor,v
"Programmer, systems",M
Press sub,o
Health and safety adviser,E
Advertising copywriter,R
Customer service manager,V
Dealer,I
Engineering geologist,U
"Scientist, research (maths)",e
Solicitor,b
Commercial horticulturist,b
Minerals surveyor,n
Visual merchandiser,G
Exercise physiologist,O
Naval architect,y
TEFL teacher,a
Environmental consultant,o
Research scientist (medical),f
Corporate treasurer,f
"Nurse, learning disability",m
Geophysicist/field seismologist,u
Personnel officer,O
Civil Service administrator,o
Animal technologist,A
Fish farm manager,V
Theatre manager,s
"Engineer, electrical",l
Product/process development scientist,P
Energy manager,g
Arboriculturist,p
"Solicitor, Scotland",G
"Therapist, sports",O
Maintenance engineer,c
"Civil engineer, consulting",T
Data processing manager,d
"Editor, commissioning",x
"Nurse, mental health",x
"Secretary, company",q
Leisure centre manager,L
"Nurse, children's",L
Technical brewer,i
Public librarian,L
Biomedical engineer,g
"Surveyor, land/geomatics",x
Farm manager,E
Architectural technologist,t
Police officer,B
Science writer,f
Lexicographer,F
"Nurse, adult",R
Child psychotherapist,K
Veterinary surgeon,r
IT consultant,E
"Administrator, charities/voluntary organisations",a
Print production planner,t
Hospital doctor,Q
Acupuncturist,m
Osteopath,x
"Engineer, aeronautical",f
"Engineer, building services",d
Counselling psychologist,l
Clinical research associate,E
Management consultant,G
Arboriculturist,O
Banker,B
Paramedic,y
"Nurse, mental health",W
Public relations account executive,K
Field trials officer,h
Psychiatrist,R
Medical illustrator,p
Financial risk analyst,d
Field trials officer,q
Psychotherapist,E
"Conservator, museum/gallery",o
Pathologist,S
"Scientist, clinical (histocompatibility and immunogenetics)",s
"Investment banker, operational",W
Trade union research officer,C
Bonds trader,k
Computer games developer,d
Mudlogger,U
"Scientist, physiological",c
Electronics engineer,U
Government social research officer,Z
"Sound technician, broadcasting/film/video",u
Community development worker,s
"Research officer, government",l
Legal executive,l
Architectural technologist,S
Network engineer,s
Child psychotherapist,s
Advertising copywriter,d
Housing manager/officer,G
Child psychotherapist,p
"Nurse, learning disability",J
Bookseller,Z
"Engineer, automotive",k
Herbalist,Z
Ophthalmologist,g
"Scientist, biomedical",m
Agricultural consultant,r
Fish farm manager,M
Ship broker,c
Museum/gallery curator,s
Air broker,P
"Lighting technician, broadcasting/film/video",n
"Secretary, company",C
"Scientist, marine",T
Hotel manager,Q
Education administrator,t
Land,l
"Surveyor, minerals",w
"Therapist, nutritional",k
"Runner, broadcasting/film/video",U
Air traffic controller,U
"Merchandiser, retail",P
"Designer, textile",E
Visual merchandiser,x
"Production assistant, radio",I
Insurance broker,h
Tax inspector,P
Technical brewer,i
"Therapist, occupational",h
Company secretary,Z
Dentist,B
Politician's assistant,f
Training and development officer,t
Lexicographer,G
Publishing copy,W
Archaeologist,p
Heritage manager,i
Theatre director,z
Trading standards officer,y
Computer games developer,a
"Solicitor, Scotland",Q
Web designer,n
Armed forces logistics/support/administrative officer,e
Government social research officer,W
Corporate investment banker,M
"Production assistant, radio",Y
"Horticulturist, amenity",g
Theatre director,X
"Chemist, analytical",m
Data processing manager,r
Herbalist,y
Personnel officer,G
Furniture designer,r
Accounting technician,x
Operational investment banker,p
Police officer,T
Statistician,l
Health promotion specialist,U
Technical brewer,v
Curator,n
Futures trader,U
"Engineer, water",e
Applications developer,x
"Programmer, applications",P
Environmental education officer,i
"Runner, broadcasting/film/video",L
"Designer, fashion/clothing",T
Armed forces logistics/support/administrative officer,M
Airline pilot,H
Furniture conservator/restorer,z
"Teacher, adult education",b
IT sales professional,S
Trade mark attorney,t
Patent examiner,Y
Musician,o
Contracting civil engineer,z
Media planner,j
Hydrographic surveyor,y
Naval architect,k
"Embryologist, clinical",O
Corporate treasurer,D
Chartered certified accountant,w
Mechanical engineer,D
"Designer, television/film set",J
Barrister's clerk,a
"Surveyor, mining",u
Nature conservation officer,Y
Risk manager,e
"Research officer, trade union",O
Housing manager/officer,s
Freight forwarder,I
Housing manager/officer,u
Civil Service administrator,j
Consulting civil engineer,r
"Engineer, petroleum",k
Radio producer,W
Aeronautical engineer,r
Film/video editor,E
"Lighting technician, broadcasting/film/video",P
Health visitor,y
"Psychologist, forensic",w
"Editor, magazine features",Z
Systems analyst,x
Public librarian,i
"Administrator, sports",F
"Programme researcher, broadcasting/film/video",N
Petroleum engineer,U
Translator,f
Hydrographic surveyor,t
Location manager,W
Educational psychologist,j
"Nurse, mental health",j
Academic librarian,L
Health and safety inspector,V
Counselling psychologist,e
Retail buyer,x
Marine scientist,s
Geophysical data processor,X
Interior and spatial designer,l
Naval architect,O
"Research officer, government",d
Radio producer,q
Civil Service administrator,X
"Lighting technician, broadcasting/film/video",T
Energy engineer,u
Midwife,m
Fast food restaurant manager,B
Early years teacher,c
"Runner, broadcasting/film/video",W
Management consultant,n
"Editor, magazine features",E
General practice doctor,j
Meteorologist,E
