s_id,Project,ProjectDomain,EventualDomain
84,"Civil engineer, contracting",Child psychotherapist,Lobbyist
6054,Futures trader,"Teacher, adult education",Commercial art gallery manager
9879,"Engineer, energy",Sub,Legal executive
4683,Arts development officer,IT trainer,Hydrogeologist
8810,Environmental health practitioner,Bonds trader,"Sound technician, broadcasting/film/video"
2728,"Therapist, nutritional",Dancer,Arts development officer
3690,"Engineer, structural",Careers information officer,Occupational hygienist
7156,Proofreader,"Restaurant manager, fast food",Printmaker
4128,"Conservator, furniture","Nurse, children's",Clinical cytogeneticist
7304,Copy,Sports therapist,Technical sales engineer
803,Quarry manager,Artist,Landscape architect
6334,Diagnostic radiographer,Graphic designer,"Conservation officer, nature"
924,"Designer, exhibition/display","Restaurant manager, fast food",Public affairs consultant
4079,Electrical engineer,Nutritional therapist,"Administrator, sports"
5403,Primary school teacher,Paramedic,Private music teacher
1881,"Designer, blown glass/stained glass","Journalist, newspaper",Paramedic
1186,"Engineer, drilling",Computer games developer,Health and safety inspector
2042,Chiropractor,"Doctor, hospital",Theatre director
7605,Advertising art director,Camera operator,Holiday representative
4794,"Pharmacist, hospital",Counselling psychologist,"Teacher, English as a foreign language"
6935,"Development worker, international aid","Administrator, arts",Amenity horticulturist
4701,Magazine features editor,"Surveyor, building","Journalist, broadcasting"
6558,Science writer,Administrator,Industrial/product designer
7841,Hospital doctor,Music tutor,"Accountant, chartered management"
6984,Corporate treasurer,Chiropractor,Textile designer
4462,Systems developer,Retail banker,"Investment banker, operational"
6155,"Accountant, chartered certified","Programmer, applications",Applications developer
3744,Computer games developer,Musician,Investment analyst
7190,Animal technologist,Drilling engineer,"Scientist, water quality"
9703,"Chemist, analytical",Ranger/warden,"Programme researcher, broadcasting/film/video"
6146,Technical sales engineer,IT trainer,"Administrator, sports"
5203,Airline pilot,Hydrogeologist,"Doctor, general practice"
372,"Nurse, adult",Equality and diversity officer,Oceanographer
8506,Farm manager,Clinical research associate,Architect
4588,Equality and diversity officer,"Administrator, arts",Police officer
4550,Recycling officer,Arts administrator,Site engineer
6229,Commercial horticulturist,"Editor, commissioning","Engineer, petroleum"
3295,Glass blower/designer,Human resources officer,Retail manager
2480,Charity fundraiser,Sport and exercise psychologist,Telecommunications researcher
1359,Licensed conveyancer,Podiatrist,Pathologist
2593,Holiday representative,Facilities manager,Television/film/video producer
559,Community pharmacist,Ophthalmologist,Event organiser
9258,Optometrist,Visual merchandiser,Sales promotion account executive
4650,"Designer, furniture",Building surveyor,Chartered management accountant
3659,Hydrologist,"Doctor, hospital","Secretary, company"
6924,Ceramics designer,Wellsite geologist,Records manager
9684,"Loss adjuster, chartered","Education officer, environmental",Architectural technologist
6706,Personnel officer,Catering manager,Clinical biochemist
6721,Sub,"Production designer, theatre/television/film","Engineer, production"
9414,"Engineer, water",Commercial horticulturist,Youth worker
170,Interior and spatial designer,Dietitian,Radio broadcast assistant
6562,Colour technologist,Public relations account executive,Ecologist
8767,Computer games developer,"Runner, broadcasting/film/video",Customer service manager
3956,"Radiographer, diagnostic","Designer, graphic","Producer, radio"
4377,"Therapist, music",Waste management officer,"Nurse, learning disability"
5957,"Chemist, analytical",Glass blower/designer,Prison officer
9580,International aid/development worker,Historic buildings inspector/conservation officer,"Nurse, children's"
3541,Ship broker,Chiropodist,Agricultural engineer
7729,"Administrator, arts","Conservator, furniture","Civil engineer, contracting"
2519,Gaffer,"Surveyor, building control",Seismic interpreter
4270,Water engineer,Banker,Outdoor activities/education manager
5726,Careers information officer,Press sub,English as a foreign language teacher
4672,Investment analyst,"Engineer, mining",Osteopath
452,Freight forwarder,Herbalist,"Education officer, community"
4132,"Lecturer, further education",Recruitment consultant,"Conservation officer, historic buildings"
2845,Software engineer,Recruitment consultant,"Therapist, music"
7601,Engineering geologist,Radio producer,Estate manager/land agent
5048,Cytogeneticist,Geophysicist/field seismologist,Armed forces training and education officer
2580,Estate manager/land agent,Television production assistant,"Copywriter, advertising"
5323,"Runner, broadcasting/film/video",Cartographer,Merchant navy officer
5731,Print production planner,Colour technologist,Conference centre manager
2395,Broadcast journalist,"Lecturer, higher education",International aid/development worker
687,"Conservation officer, nature",Fitness centre manager,Production engineer
5053,Higher education careers adviser,Ranger/warden,Chiropodist
8365,"Engineer, communications","Radiographer, diagnostic",Trade union research officer
4718,"Nurse, children's",Television production assistant,Chiropodist
3378,"Engineer, electrical",Manufacturing systems engineer,Local government officer
8649,Recruitment consultant,Electronics engineer,Quality manager
2662,Immigration officer,Furniture designer,Civil Service administrator
9665,Clinical cytogeneticist,"Horticulturist, amenity",Learning mentor
5108,Media buyer,Geoscientist,"Lighting technician, broadcasting/film/video"
4762,"Teacher, music",Insurance risk surveyor,Field trials officer
1219,Multimedia programmer,"Biochemist, clinical",Fashion designer
5835,Museum/gallery exhibitions officer,Press sub,Artist
1368,Health physicist,"Physicist, medical",Government social research officer
293,"Engineer, mining",Hydrogeologist,Trading standards officer
6528,Insurance risk surveyor,Medical sales representative,Museum/gallery conservator
3109,"Development worker, community",Applications developer,Warehouse manager
985,"Teacher, English as a foreign language","Surveyor, insurance","Production assistant, television"
9013,Education administrator,Recruitment consultant,Health and safety adviser
1022,Agricultural engineer,"Investment banker, corporate","Conservation officer, historic buildings"
264,"Engineer, petroleum","Scientist, product/process development",Television camera operator
7012,"Buyer, retail","Scientist, research (medical)",Information officer
1538,Chiropodist,Clinical biochemist,"Surveyor, hydrographic"
2869,Airline pilot,TEFL teacher,Social worker
4911,Charity officer,Computer games developer,Geophysical data processor
3619,"Therapist, music",Technical author,Medical physicist
476,Clinical molecular geneticist,Software engineer,"Optician, dispensing"
4522,"Editor, film/video","Psychologist, clinical","Conservation officer, nature"
3814,Furniture designer,Hydrographic surveyor,Animator
6939,Sub,Insurance broker,Multimedia specialist
4940,Holiday representative,Animal technologist,Sub
717,"Engineer, manufacturing",Counselling psychologist,"Designer, graphic"
166,Health promotion specialist,"Engineer, control and instrumentation",Occupational therapist
6675,Health physicist,"Research officer, political party",Advertising copywriter
9971,"Surveyor, planning and development",Trading standards officer,Games developer
1812,Armed forces operational officer,Personnel officer,"Psychologist, sport and exercise"
8754,Waste management officer,Horticultural consultant,Advertising copywriter
5873,Writer,Secretary/administrator,Energy manager
1815,Soil scientist,Teaching laboratory technician,Equality and diversity officer
9451,Arts administrator,Museum/gallery exhibitions officer,Chartered management accountant
8370,"Sound technician, broadcasting/film/video",IT trainer,Private music teacher
3484,Animal technologist,Ranger/warden,"Designer, fashion/clothing"
9406,Environmental health practitioner,Lexicographer,"Administrator, Civil Service"
3222,Animal technologist,Local government officer,"Geologist, engineering"
7291,Phytotherapist,Heritage manager,Ship broker
9318,Sport and exercise psychologist,Phytotherapist,Community pharmacist
9173,Agricultural consultant,Computer games developer,"Engineer, maintenance (IT)"
9461,Commercial/residential surveyor,Science writer,Forensic psychologist
4255,"Engineer, water",Volunteer coordinator,"Surveyor, rural practice"
4715,Commercial art gallery manager,"Investment banker, operational","Conservation officer, historic buildings"
5328,Newspaper journalist,Health physicist,"Engineer, mining"
2763,Futures trader,Broadcast presenter,Banker
5649,Proofreader,"Loss adjuster, chartered",Engineering geologist
6152,Environmental consultant,Occupational therapist,Land
9197,"Psychologist, occupational",Audiological scientist,Clinical molecular geneticist
3234,Pharmacologist,Press photographer,Dealer
8963,"Designer, fashion/clothing",Public librarian,"Exhibitions officer, museum/gallery"
7582,Software engineer,Dancer,Health visitor
651,Chartered legal executive (England and Wales),"Therapist, art",Database administrator
8998,Bonds trader,Office manager,"Psychotherapist, child"
6469,"Education officer, museum","Psychologist, occupational",Charity officer
1661,Musician,Scientific laboratory technician,Corporate treasurer
3584,Public affairs consultant,"Physicist, medical",Fish farm manager
1766,Dancer,Printmaker,Sports development officer
9102,Press photographer,Landscape architect,"Programmer, multimedia"
3693,"Administrator, sports",Museum/gallery curator,Statistician
8890,Claims inspector/assessor,"Biochemist, clinical",Proofreader
6346,Osteopath,Public librarian,Transport planner
8998,Petroleum engineer,Government social research officer,Forensic psychologist
6057,Social researcher,Pensions consultant,"Engineer, structural"
6425,Animal technologist,"Librarian, public",Technical author
6687,Toxicologist,Environmental health practitioner,"Designer, textile"
4519,"Teacher, primary school",Air cabin crew,Outdoor activities/education manager
5324,Archivist,Archaeologist,Research scientist (physical sciences)
3809,Passenger transport manager,"Engineer, automotive",Consulting civil engineer
5249,"Teacher, special educational needs",Psychiatric nurse,Homeopath
6612,Illustrator,Aid worker,Clinical embryologist
8856,Sports coach,Environmental manager,Retail merchandiser
6560,Dentist,"Administrator, arts",Orthoptist
1397,"Lighting technician, broadcasting/film/video","Engineer, drilling",Veterinary surgeon
5525,Youth worker,Theatre director,Systems analyst
8064,Catering manager,Regulatory affairs officer,Retail manager
2562,"Engineer, petroleum",Homeopath,Higher education lecturer
8676,"Geologist, wellsite",Exhibition designer,Technical brewer
4073,Music therapist,Corporate investment banker,Careers information officer
4364,Restaurant manager,Public house manager,Ship broker
8000,Film/video editor,Occupational therapist,Cartographer
1088,"Secretary, company","Education officer, museum","Administrator, arts"
587,"Pilot, airline","Buyer, industrial","Engineer, manufacturing systems"
9973,Film/video editor,"Horticulturist, commercial",Academic librarian
1626,Community development worker,"Optician, dispensing",Horticultural therapist
2184,Careers adviser,Advertising art director,Chartered public finance accountant
3915,Set designer,Education administrator,"Sales professional, IT"
2078,Biomedical scientist,Software engineer,Seismic interpreter
3710,Cartographer,Education administrator,"Pharmacist, community"
771,Landscape architect,Barrister,Academic librarian
9877,Telecommunications researcher,Financial adviser,"Engineer, structural"
5121,Pensions consultant,Speech and language therapist,"Surveyor, hydrographic"
2009,Meteorologist,Financial planner,Ergonomist
6093,Magazine journalist,"Psychologist, clinical",Agricultural engineer
4222,"Teacher, music","Scientist, clinical (histocompatibility and immunogenetics)",Health physicist
1537,"Surveyor, hydrographic",Retail banker,Software engineer
2986,"Sound technician, broadcasting/film/video","Administrator, sports",Pensions consultant
3867,Multimedia programmer,"Copywriter, advertising",Corporate investment banker
520,Counsellor,Brewing technologist,Risk manager
1974,"Scientist, product/process development","Psychologist, occupational",Art gallery manager
5869,"Pharmacist, hospital",Network engineer,Building control surveyor
6972,Conference centre manager,Chemical engineer,"Engineer, building services"
5608,Licensed conveyancer,"Psychologist, counselling","Engineer, broadcasting (operations)"
1208,Office manager,"Designer, blown glass/stained glass",Trade union research officer
6354,Midwife,Translator,Maintenance engineer
4272,"Engineer, communications",Energy engineer,"Therapist, horticultural"
4993,Tour manager,Visual merchandiser,Building services engineer
5698,Special educational needs teacher,Medical laboratory scientific officer,Government social research officer
5731,Radio producer,Legal executive,Farm manager
5857,"Surveyor, insurance",Retail merchandiser,Dietitian
8089,Furniture conservator/restorer,Emergency planning/management officer,Homeopath
4393,Physiological scientist,Geophysical data processor,Archivist
4744,Technical sales engineer,Farm manager,Politician's assistant
6875,"Therapist, speech and language",Orthoptist,Architect
1439,"Civil engineer, contracting",Horticultural consultant,Minerals surveyor
7745,Environmental health practitioner,"Therapist, art","Radiographer, therapeutic"
7338,"Journalist, magazine","Doctor, hospital",Metallurgist
1767,Community education officer,"Presenter, broadcasting",Advertising account planner
6512,Private music teacher,Geoscientist,"Lecturer, higher education"
3221,"Teacher, secondary school",Medical physicist,Television camera operator
4405,"Engineer, maintenance (IT)",Pharmacologist,Lobbyist
3036,Police officer,"Administrator, local government","Investment banker, operational"
598,Exhibition designer,Community education officer,Horticultural therapist
3670,Commissioning editor,Phytotherapist,"Geneticist, molecular"
4015,"Engineer, chemical",Technical author,Minerals surveyor
497,Leisure centre manager,"Loss adjuster, chartered","Embryologist, clinical"
9806,"Embryologist, clinical",Commercial horticulturist,Commercial/residential surveyor
4204,Clinical research associate,"Engineer, site",Special effects artist
2245,Financial planner,Special effects artist,Agricultural engineer
7494,"Programmer, systems",Insurance claims handler,"Engineer, maintenance (IT)"
3706,"Engineer, electronics",IT consultant,Music tutor
8591,"Nurse, mental health","Pilot, airline",Curator
8900,Politician's assistant,Animal nutritionist,Catering manager
5476,Clinical research associate,"Research officer, government",Social researcher
5524,Secondary school teacher,Multimedia programmer,Museum/gallery exhibitions officer
7345,"Therapist, nutritional",Sales promotion account executive,Advice worker
4503,Firefighter,"Secretary, company","Producer, radio"
3169,Publishing copy,"Designer, interior/spatial",Insurance broker
8967,Catering manager,Health promotion specialist,Production engineer
617,Investment analyst,Learning mentor,Production manager
925,Surgeon,Consulting civil engineer,Press sub
4514,Tree surgeon,Community education officer,Field seismologist
8754,Psychiatric nurse,Educational psychologist,"Scientist, water quality"
3574,Financial adviser,Heritage manager,Optometrist
2301,Public librarian,Call centre manager,Furniture designer
1119,Energy manager,Industrial buyer,Learning mentor
5505,Animal nutritionist,Oceanographer,"Designer, television/film set"
7442,Architect,Acupuncturist,Ergonomist
106,Forest/woodland manager,"Engineer, site",Ergonomist
6158,"Surveyor, commercial/residential",Recycling officer,Control and instrumentation engineer
4051,Geophysical data processor,Diplomatic Services operational officer,Secretary/administrator
2073,"Psychologist, clinical",Sales executive,Retail merchandiser
8146,Legal executive,"Scientist, physiological",Clinical embryologist
257,"Education officer, community",Call centre manager,Cytogeneticist
8836,Operational researcher,"Engineer, manufacturing systems","Engineer, site"
9461,"Social research officer, government",Agricultural engineer,"Accountant, chartered certified"
374,"Scientist, research (medical)",Occupational therapist,"Copywriter, advertising"
3001,Ship broker,Fitness centre manager,Ambulance person
1361,"Designer, ceramics/pottery",Magazine journalist,Hospital pharmacist
6449,Make,Secondary school teacher,Operations geologist
5978,Print production planner,Gaffer,"Solicitor, Scotland"
6727,Food technologist,Communications engineer,Magazine journalist
2833,Podiatrist,"Teacher, special educational needs",Patent examiner
6983,Chartered public finance accountant,Insurance claims handler,Futures trader
4235,"Psychologist, forensic",Chartered public finance accountant,Industrial buyer
9365,Commercial/residential surveyor,Retail merchandiser,Lawyer
8710,"Engineer, energy",Sports administrator,"Surveyor, hydrographic"
6932,"Horticulturist, amenity","Engineer, communications","Teacher, adult education"
7555,Corporate treasurer,Fashion designer,Applications developer
4838,Agricultural consultant,Lobbyist,Technical author
5312,Hospital pharmacist,"Teacher, secondary school","Teacher, special educational needs"
6960,Dentist,Paramedic,Armed forces technical officer
3951,"Psychologist, forensic",Transport planner,Advertising account planner
8206,Public house manager,"Engineer, energy","Therapist, music"
138,Hydrographic surveyor,Gaffer,Operations geologist
654,Personnel officer,Brewing technologist,Press sub
192,Air cabin crew,"Administrator, sports","Teacher, secondary school"
3878,Heritage manager,Telecommunications researcher,Clinical biochemist
5151,Clinical molecular geneticist,Broadcast journalist,Barrister
3731,Hospital pharmacist,Fish farm manager,Health service manager
6090,Homeopath,"Designer, blown glass/stained glass",Hospital doctor
4411,Geoscientist,Consulting civil engineer,Surgeon
3174,Tour manager,Volunteer coordinator,Advice worker
8040,Airline pilot,Arts development officer,"Journalist, newspaper"
471,Theatre stage manager,Barrister,Lobbyist
9826,Broadcast engineer,"Engineer, production",Local government officer
4703,Oceanographer,Marine scientist,"Psychotherapist, child"
908,Artist,"Solicitor, Scotland",Commissioning editor
3470,Occupational therapist,Aid worker,Management consultant
9008,Fashion designer,Geographical information systems officer,Aid worker
6510,"Teacher, music",Herbalist,Primary school teacher
6676,Landscape architect,Airline pilot,Corporate treasurer
3885,Lawyer,"Engineer, land","Engineer, petroleum"
2250,"Programmer, applications",Freight forwarder,Financial trader
9151,Field seismologist,"Programme researcher, broadcasting/film/video",Sports development officer
5820,Maintenance engineer,Tourist information centre manager,Sports therapist
5150,Arts administrator,Industrial/product designer,"Nurse, children's"
7854,"Engineer, agricultural","Librarian, public",Broadcast engineer
3471,Immunologist,Soil scientist,Pension scheme manager
5686,"Engineer, energy",Adult nurse,Product designer
1231,Public house manager,Amenity horticulturist,Warehouse manager
2038,Futures trader,Clothing/textile technologist,"Doctor, general practice"
8944,Garment/textile technologist,Industrial/product designer,Architect
5675,"Engineer, aeronautical",Ambulance person,Personnel officer
8313,"Engineer, land",Government social research officer,Research scientist (physical sciences)
9797,Broadcast engineer,"Therapist, horticultural","Designer, ceramics/pottery"
1181,Horticultural consultant,"Nurse, adult",Cytogeneticist
5510,Haematologist,"Research officer, trade union",Television camera operator
4807,"Scientist, biomedical",Magazine features editor,Trade union research officer
5493,Manufacturing engineer,IT sales professional,Equality and diversity officer
9747,"Engineer, civil (consulting)","Administrator, education","Development worker, international aid"
2663,"Horticulturist, commercial",Event organiser,Actor
2276,Environmental education officer,Hospital pharmacist,"Buyer, retail"
1641,Further education lecturer,Probation officer,Paramedic
8597,Recycling officer,Forensic scientist,Diplomatic Services operational officer
1121,Audiological scientist,"Pharmacist, hospital",Television camera operator
4879,Land/geomatics surveyor,"Accountant, chartered certified",Travel agency manager
5161,"Clinical scientist, histocompatibility and immunogenetics",Energy engineer,Television production assistant
3300,"Surveyor, rural practice",Video editor,Risk manager
6223,Colour technologist,Educational psychologist,Textile designer
2668,IT sales professional,Fashion designer,Television/film/video producer
3972,"Nurse, adult",Field seismologist,Magazine journalist
2162,Commercial horticulturist,Trading standards officer,"Pharmacist, hospital"
5340,Senior tax professional/tax inspector,Commercial horticulturist,Intelligence analyst
5837,Air broker,Contracting civil engineer,Astronomer
3520,Wellsite geologist,Editorial assistant,Advice worker
9289,Training and development officer,Visual merchandiser,Midwife
7042,"Research officer, trade union",Analytical chemist,"Scientist, research (life sciences)"
6338,Higher education careers adviser,"Teacher, special educational needs",Environmental manager
6360,Homeopath,Geophysical data processor,"Geologist, engineering"
2908,"Engineer, automotive",IT sales professional,Industrial/product designer
4257,Multimedia programmer,Industrial/product designer,Banker
2335,Systems analyst,Customer service manager,"Engineer, chemical"
2363,"Engineer, control and instrumentation","Exhibitions officer, museum/gallery",Special educational needs teacher
4555,Ecologist,"Presenter, broadcasting",Nature conservation officer
1546,Industrial buyer,Emergency planning/management officer,Chartered accountant
8263,Secretary/administrator,"Engineer, structural","Therapist, horticultural"
3947,Restaurant manager,Landscape architect,Editorial assistant
1463,"Pharmacist, community",Research scientist (maths),Sports therapist
7852,Armed forces operational officer,Electrical engineer,"Administrator, arts"
7283,Structural engineer,Immunologist,Purchasing manager
7749,"Engineer, biomedical",Environmental consultant,Economist
9323,Careers information officer,Pharmacologist,"Horticulturist, commercial"
7208,Operational investment banker,Theme park manager,Mechanical engineer
3405,"Research officer, trade union","Scientist, research (life sciences)",Oceanographer
1391,Control and instrumentation engineer,Art gallery manager,Communications engineer
1230,"Designer, graphic",Stage manager,Actor
9297,Toxicologist,Commercial horticulturist,Optometrist
8089,Amenity horticulturist,Administrator,"Programmer, systems"
4789,Personal assistant,Retail manager,"Engineer, petroleum"
5503,Geophysical data processor,Medical technical officer,Video editor
4028,"Surveyor, quantity",Forensic psychologist,Health physicist
3793,Field trials officer,"Optician, dispensing",Further education lecturer
6211,Water engineer,Mudlogger,Fashion designer
3050,Energy engineer,Higher education lecturer,Proofreader
3254,"Producer, television/film/video",Volunteer coordinator,"Optician, dispensing"
9961,Financial controller,"Engineer, drilling",Production manager
5586,Estate manager/land agent,"Engineer, maintenance","Education officer, environmental"
6661,Emergency planning/management officer,IT technical support officer,Agricultural engineer
672,Television production assistant,IT consultant,Hospital doctor
6163,Medical laboratory scientific officer,Fast food restaurant manager,"Psychologist, clinical"
5881,"Producer, television/film/video",Warehouse manager,"Engineer, chemical"
7805,Colour technologist,Information officer,Hospital doctor
2873,Claims inspector/assessor,"Surveyor, quantity",Medical secretary
5689,Legal executive,Chartered public finance accountant,Games developer
4187,Copy,Financial trader,TEFL teacher
9753,Radio producer,Outdoor activities/education manager,Amenity horticulturist
7108,"Education officer, museum","Research officer, political party",Tax inspector
5172,Insurance underwriter,General practice doctor,"Engineer, civil (consulting)"
6941,Freight forwarder,Lawyer,Theme park manager
8058,Community pharmacist,Fisheries officer,Investment analyst
4475,Broadcast journalist,Actor,Physiological scientist
9387,"Engineer, maintenance (IT)",Investment analyst,"Engineer, energy"
4249,"Scientist, marine",Mechanical engineer,Immunologist
9544,Arts administrator,Barrister's clerk,Visual merchandiser
9744,Engineering geologist,Health physicist,IT sales professional
6143,Financial controller,Probation officer,Fitness centre manager
5734,Bonds trader,Haematologist,Music therapist
8570,Theatre director,Event organiser,Furniture conservator/restorer
8226,Probation officer,"Nurse, adult","Development worker, community"
4114,Social researcher,Systems developer,Nutritional therapist
4324,Newspaper journalist,Farm manager,Armed forces operational officer
115,Sales executive,"Scientist, clinical (histocompatibility and immunogenetics)","Psychologist, educational"
